,AccountNumber,AddressLine1Individual,AddressLine1Store,AddressLine2Individual,AddressLine2Store,AddressTypeIndividual,AddressTypeStore,BillToAddressID,CarrierTrackingNumber,CityIndividual,CityStore,Class,Color,CountryRegionCode,CountryRegionNameIndividual,CountryRegionNameStore,CreditCardApprovalCode,CreditCardID,CurrencyRateID,CustomerID,DueDate,FinishedGoodsFlag,FirstName,Freight,LastName,LineTotal,ListPrice,MakeFlag,MiddleName,OnlineOrderFlag,OrderDate,OrderQty,PersonID,PostalCodeIndividual,PostalCodeStore,Product,ProductCategory,ProductCategoryID,ProductID,ProductLine,ProductModelID,ProductNumber,ProductSubCategory,ProductSubcategoryID,PurchaseOrderNumber,Region,RevisionNumber,SalesOrderDetailID,SalesOrderID,SalesOrderNumber,SalesPersonID,ShipDate,ShipMethodID,ShipToAddressID,Size,SpecialOfferID,StandardCost,StateProvinceNameIndividual,StateProvinceNameStore,Status,Store,StoreID,Style,SubTotal,TaxAmt,Territory,TerritoryID,TotalDue,UnitPrice,UnitPriceDiscount
1,10-4030-018759,9050 Blue Ridge Dr.,NA,NA,NA,Home,NA,14024,NA,Colma,NA,NA,Multi,CA,United States,NA,230370Vi51970,10084,NA,18759,7/12/2014,TRUE,Tanya,4.7493,Romero,8.99,8.99,FALSE,NA,Yes,6/30/2014,1,4989,94014,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,North America,8,121317,75123,SO75123,NA,7/7/2014,1,14024,NA,1,6.9223,California,NA,5,NA,NA,U,189.97,15.1976,Canada,6,209.9169,8.99,0
2,10-4030-018759,9050 Blue Ridge Dr.,NA,NA,NA,Home,NA,14024,NA,Colma,NA,NA,NA,CA,United States,NA,230370Vi51970,10084,NA,18759,7/12/2014,TRUE,Tanya,4.7493,Romero,21.98,21.98,FALSE,NA,Yes,6/30/2014,1,4989,94014,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121315,75123,SO75123,NA,7/7/2014,1,14024,NA,1,8.2205,California,NA,5,NA,NA,NA,189.97,15.1976,Canada,6,209.9169,21.98,0
3,10-4030-018759,9050 Blue Ridge Dr.,NA,NA,NA,Home,NA,14024,NA,Colma,NA,NA,NA,CA,United States,NA,230370Vi51970,10084,NA,18759,7/12/2014,TRUE,Tanya,4.7493,Romero,159,159,FALSE,NA,Yes,6/30/2014,1,4989,94014,NA,All-Purpose Bike Stand,Accessories,4,879,M,122,ST-1401,Bike Stands,27,NA,North America,8,121316,75123,SO75123,NA,7/7/2014,1,14024,NA,1,59.466,California,NA,5,NA,NA,NA,189.97,15.1976,Canada,6,209.9169,159,0
4,10-4030-015868,Zimmerstr 311,NA,NA,NA,Home,NA,14616,NA,Bottrop,NA,NA,Multi,CA,Germany,NA,330022Vi97312,18719,NA,15868,7/12/2014,TRUE,Marcus,0.7743,Rivera,8.99,8.99,FALSE,NA,Yes,6/30/2014,1,5581,46236,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,North America,8,121314,75122,SO75122,NA,7/7/2014,1,14616,NA,1,6.9223,Nordrhein-Westfalen,NA,5,NA,NA,U,30.97,2.4776,Canada,6,34.2219,8.99,0
5,10-4030-015868,Zimmerstr 311,NA,NA,NA,Home,NA,14616,NA,Bottrop,NA,NA,NA,CA,Germany,NA,330022Vi97312,18719,NA,15868,7/12/2014,TRUE,Marcus,0.7743,Rivera,21.98,21.98,FALSE,NA,Yes,6/30/2014,1,5581,46236,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121313,75122,SO75122,NA,7/7/2014,1,14616,NA,1,8.2205,Nordrhein-Westfalen,NA,5,NA,NA,NA,30.97,2.4776,Canada,6,34.2219,21.98,0
6,10-4030-015251,NA,NA,NA,NA,NA,NA,26553,NA,NA,NA,NA,NA,CA,NA,NA,529864Vi73738,14220,NA,15251,7/12/2014,TRUE,NA,1.8745,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,17467,NA,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121310,75121,SO75121,NA,7/7/2014,1,26553,NA,1,1.8663,NA,NA,5,NA,NA,NA,74.98,5.9984,Canada,6,82.8529,4.99,0
7,10-4030-015251,NA,NA,NA,NA,NA,NA,26553,NA,NA,NA,NA,Red,CA,NA,NA,529864Vi73738,14220,NA,15251,7/12/2014,TRUE,NA,1.8745,NA,34.99,34.99,FALSE,NA,Yes,6/30/2014,1,17467,NA,NA,"Sport-100 Helmet, Red",Accessories,4,707,S,33,HL-U509-R,Helmets,31,NA,North America,8,121312,75121,SO75121,NA,7/7/2014,1,26553,NA,1,13.0863,NA,NA,5,NA,NA,NA,74.98,5.9984,Canada,6,82.8529,34.99,0
8,10-4030-015251,NA,NA,NA,NA,NA,NA,26553,NA,NA,NA,H,NA,CA,NA,NA,529864Vi73738,14220,NA,15251,7/12/2014,TRUE,NA,1.8745,NA,35,35,FALSE,NA,Yes,6/30/2014,1,17467,NA,NA,HL Mountain Tire,Accessories,4,930,M,87,TI-M823,Tires and Tubes,37,NA,North America,8,121311,75121,SO75121,NA,7/7/2014,1,26553,NA,1,13.09,NA,NA,5,NA,NA,NA,74.98,5.9984,Canada,6,82.8529,35,0
9,10-4030-018749,NA,NA,NA,NA,NA,NA,28374,NA,NA,NA,NA,Multi,CA,NA,NA,929849Vi46003,8925,NA,18749,7/12/2014,TRUE,NA,2.124,NA,8.99,8.99,FALSE,NA,Yes,6/30/2014,1,19283,NA,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,North America,8,121309,75120,SO75120,NA,7/7/2014,1,28374,NA,1,6.9223,NA,NA,5,NA,NA,U,84.96,6.7968,Canada,6,93.8808,8.99,0
10,10-4030-018749,NA,NA,NA,NA,NA,NA,28374,NA,NA,NA,NA,NA,CA,NA,NA,929849Vi46003,8925,NA,18749,7/12/2014,TRUE,NA,2.124,NA,21.98,21.98,FALSE,NA,Yes,6/30/2014,1,19283,NA,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121307,75120,SO75120,NA,7/7/2014,1,28374,NA,1,8.2205,NA,NA,5,NA,NA,NA,84.96,6.7968,Canada,6,93.8808,21.98,0
11,10-4030-018749,NA,NA,NA,NA,NA,NA,28374,NA,NA,NA,NA,Yellow,CA,NA,NA,929849Vi46003,8925,NA,18749,7/12/2014,TRUE,NA,2.124,NA,53.99,53.99,FALSE,NA,Yes,6/30/2014,1,19283,NA,NA,"Short-Sleeve Classic Jersey, XL",Clothing,3,884,S,32,SJ-0194-X,Jerseys,21,NA,North America,8,121308,75120,SO75120,NA,7/7/2014,1,28374,XL,1,41.5723,NA,NA,5,NA,NA,U,84.96,6.7968,Canada,6,93.8808,53.99,0
12,10-4030-011981,6513 Beauer Lane,NA,NA,NA,Home,NA,17649,NA,Hervey Bay,NA,NA,NA,US,Australia,NA,429826Vi35166,6761,NA,11981,7/12/2014,TRUE,Sandra,1.057,Huang,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,8596,4655,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121304,75119,SO75119,NA,7/7/2014,1,17649,NA,1,1.8663,Queensland,NA,5,NA,NA,NA,42.28,3.3824,Northwest,1,46.7194,4.99,0
13,10-4030-011981,6513 Beauer Lane,NA,NA,NA,Home,NA,17649,NA,Hervey Bay,NA,NA,NA,US,Australia,NA,429826Vi35166,6761,NA,11981,7/12/2014,TRUE,Sandra,1.057,Huang,2.29,2.29,FALSE,NA,Yes,6/30/2014,1,8596,4655,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,North America,8,121306,75119,SO75119,NA,7/7/2014,1,17649,NA,1,0.8565,Queensland,NA,5,NA,NA,NA,42.28,3.3824,Northwest,1,46.7194,2.29,0
14,10-4030-011981,6513 Beauer Lane,NA,NA,NA,Home,NA,17649,NA,Hervey Bay,NA,H,NA,US,Australia,NA,429826Vi35166,6761,NA,11981,7/12/2014,TRUE,Sandra,1.057,Huang,35,35,FALSE,NA,Yes,6/30/2014,1,8596,4655,NA,HL Mountain Tire,Accessories,4,930,M,87,TI-M823,Tires and Tubes,37,NA,North America,8,121305,75119,SO75119,NA,7/7/2014,1,17649,NA,1,13.09,Queensland,NA,5,NA,NA,NA,42.28,3.3824,Northwest,1,46.7194,35,0
15,10-4030-013671,NA,NA,NA,NA,NA,NA,27439,NA,NA,NA,NA,NA,DE,NA,NA,828969Vi54175,10513,NA,13671,7/12/2014,TRUE,NA,3.3808,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,18351,NA,NA,Touring Tire Tube,Accessories,4,923,T,94,TT-T092,Tires and Tubes,37,NA,Europe,8,121300,75118,SO75118,NA,7/7/2014,1,27439,NA,1,1.8663,NA,NA,5,NA,NA,NA,135.23,10.8184,Germany,8,149.4292,4.99,0
16,10-4030-013671,NA,NA,NA,NA,NA,NA,27439,NA,NA,NA,NA,NA,DE,NA,NA,828969Vi54175,10513,NA,13671,7/12/2014,TRUE,NA,3.3808,NA,2.29,2.29,FALSE,NA,Yes,6/30/2014,1,18351,NA,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,Europe,8,121301,75118,SO75118,NA,7/7/2014,1,27439,NA,1,0.8565,NA,NA,5,NA,NA,NA,135.23,10.8184,Germany,8,149.4292,2.29,0
17,10-4030-013671,NA,NA,NA,NA,NA,NA,27439,NA,NA,NA,NA,NA,DE,NA,NA,828969Vi54175,10513,NA,13671,7/12/2014,TRUE,NA,3.3808,NA,7.95,7.95,FALSE,NA,Yes,6/30/2014,1,18351,NA,NA,Bike Wash - Dissolver,Accessories,4,877,S,119,CL-9009,Cleaners,29,NA,Europe,8,121302,75118,SO75118,NA,7/7/2014,1,27439,NA,1,2.9733,NA,NA,5,NA,NA,NA,135.23,10.8184,Germany,8,149.4292,7.95,0
18,10-4030-013671,NA,NA,NA,NA,NA,NA,27439,NA,NA,NA,NA,NA,DE,NA,NA,828969Vi54175,10513,NA,13671,7/12/2014,TRUE,NA,3.3808,NA,120,120,FALSE,NA,Yes,6/30/2014,1,18351,NA,NA,Hitch Rack - 4-Bike,Accessories,4,876,S,118,RA-H123,Bike Racks,26,NA,Europe,8,121303,75118,SO75118,NA,7/7/2014,1,27439,NA,1,44.88,NA,NA,5,NA,NA,NA,135.23,10.8184,Germany,8,149.4292,120,0
